SquareFootage,NumRooms,NumBathrooms,HasBalcony,HasGymAccess,HasParking,NeighborhoodSafetyIndex,WalkScore,SchoolRating,Rent
2667,5,3,1,1,1,1.8,13,4.9,6536.0
2455,1,3,0,0,1,6.45,62,4.5,5665.77
2613,1,1,0,1,0,5.95,4,2.0,4945.53
1730,2,1,0,1,0,4.37,33,9.3,4544.84
2263,3,3,1,1,0,8.02,73,6.3,5884.34
1026,5,2,1,1,1,2.03,41,1.8,3949.54
2503,2,1,1,0,0,2.58,91,2.2,5898.3
843,5,2,0,1,1,1.16,15,6.9,3354.11
2521,3,3,0,1,0,6.67,2,3.9,5787.15
2117,5,2,0,1,1,6.77,50,8.2,6037.22
1753,5,3,1,1,0,1.05,4,4.6,5019.55
1631,2,1,0,1,1,5.17,88,6.5,4690.99
1260,3,2,1,0,0,8.81,12,2.1,3888.1
900,4,3,1,0,0,4.78,64,2.7,3822.74
1098,1,1,0,1,1,2.56,22,1.6,2713.52
2138,5,1,0,1,0,2.75,66,6.3,5835.47
1446,2,3,1,0,1,8.23,27,8.0,4973.5
2579,3,1,0,0,1,1.55,54,4.9,5404.87
2689,5,3,1,1,1,9.36,12,7.8,6792.66
909,1,3,0,0,1,7.25,27,5.8,3330.43
2333,2,2,0,0,1,9.29,54,1.3,5693.56
2658,2,3,1,1,0,3.82,1,2.4,5121.48
607,1,2,0,0,0,3.88,92,3.7,3138.51
1418,4,3,1,1,0,7.04,40,5.7,4985.57
1875,2,3,0,0,0,7.9,97,3.1,5336.33
2990,4,1,1,0,1,6.88,54,3.5,6664.53
2508,1,1,1,0,0,9.02,74,6.1,5852.65
2748,1,1,1,0,1,4.47,96,6.5,6081.74
1767,1,1,1,1,0,1.47,68,5.9,4294.35
1339,4,1,0,0,1,9.64,46,5.6,4816.49
1331,3,3,1,1,1,9.35,44,1.5,5125.51
2426,5,1,0,0,1,8.17,14,3.0,5224.46
2674,5,1,0,1,0,6.02,78,4.2,6660.69
1967,2,2,0,1,1,6.45,14,3.8,4330.56
610,3,2,0,1,1,6.37,22,9.0,3167.53
1301,2,3,0,1,1,6.64,1,7.4,4425.97
2528,2,1,1,0,1,6.32,30,2.9,5272.63
1815,2,2,1,1,0,7.4,53,4.0,5053.85
1209,1,2,1,1,0,6.42,71,9.4,4538.01
499,5,3,1,0,0,1.65,51,7.3,3323.42
2031,1,1,0,1,0,3.42,75,4.6,5157.41
2171,3,1,0,0,0,9.13,43,4.6,5445.87
1901,1,2,1,1,0,6.1,67,7.0,5168.12
2565,1,2,0,0,1,6.78,76,4.7,6279.49
2046,3,1,0,1,0,9.9,99,1.9,5854.87
1065,1,1,0,1,0,4.97,64,5.2,3102.79
1635,1,3,0,1,1,8.74,30,7.9,4925.91
1098,1,2,1,0,0,2.18,42,2.1,3318.66
2034,5,3,1,1,1,3.54,38,5.0,6029.62
2262,3,2,0,1,1,6.16,34,3.3,5732.83
1993,3,2,1,1,1,8.84,37,5.7,5722.82
2505,3,1,1,1,0,4.39,52,2.6,5676.13
483,5,3,1,1,0,2.37,63,8.8,3614.31
1781,1,1,0,0,0,1.72,84,4.1,4359.8
1909,3,3,0,0,1,6.06,40,8.7,5383.83
1148,2,3,1,1,0,7.04,72,1.7,3977.65
